name,can_multiattack,legendary_cost,description_template,effect_ac,effect_hp,effect_damage,effect_attack
Amphibious,False,0,This creature can breathe air and water.,,,,
Bound to the Courts,False,0,"This creature has advantage on saving throws against being charmed, and magic can't put it to sleep.",,,,
Courtship,False,0,"Creatures which share this creature's alignment have advantage on Wisdom (Insight), Wisdom (Animal Handling), and all Charisma checks directed at this creature. Creatures with opposing alignments (Summer-Winter or Autumn-Spring) have disadvantage on these checks, and this creature is likely to immediately attack them.",,,,
Aggressive,False,0,"As a bonus action, this creature can move up to its speed toward a hostile feature it can see.",,,.05,
Ambusher,False,0,This creature has advantage on attack rolls against any creature it has surprised.,,,.05,
Constrict,True,0,"*Melee Weapon Atack:* +{prof + STR} to hit, reach 5 ft., one target. *Hit:* 7 ({size_mod}d4 + {STR}) bludgeoning damage. On a hit, if the target is {size} or smaller, it must make a DC {8 + prof + STR} Strength saving throw or be grappled.",1,,,
Frightful Presence,True,0,"Each creature of this creature's choice within 120 ft. that can hear or see it must make a DC {8 + prof + CHA} Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to this creature's Frightful Presence for the next 24 hours.",1,.25,,
Magic Resistance,False,0,This creature has advantage on saving throws against spells and other magical effects.,2,,,
Nimble Escape,False,0,This creature can take the Disengage or Hide action as a bonus action on each of its turns.,1,,,2
Pack Tactics,False,0,This creature has advantage on attack rolls against a target creature if at least one of the creature's allies is within 5 ft. of the target and the ally is not incapacitated.,,,,1
Parry,False,0,This creature adds {prof} to its AC against one melee attack that would hit it.,1,,,
Regeneration,False,0,"At the beginning of this creature's turn, it regains {prof + CON} hit points.",,.1,,
Aversion to Fire,False,0,"If this creature takes fire damage, it can't use its Regeneration feature on its next turn.",,,,
Aversion to Acid,False,0,"If this creature takes acid damage, it can't use its Regeneration feature on its next turn.",,,,
Relentless,False,0,"If this creature would be reduced to 0 hit points, it makes a DC {8 + prof} Constitution saving throw. On a successful saving throw, it survives with 1 hp instead.",,,.1,
Undead Fortitude,False,0,"If damage reduces this creature to 0 hit points, it must make a Constitution saving throw with a DC of 5 + the damage taken, unless the damage is radiant or from a critical hit. On a successful saving throw, it drops to 1 hp instead.",,.2,,
Stench,False,0,"Any other creature that starts its turn within 5 ft. of this creature must succeed on a DC {8 + CON + prof} saving throw or be poisoned until the start of that creature's next turn. On a successful saving throw, the creature is immune to the stench of creatures of this kind for 1 hour.",1,,,
Sunlight Sensitivity,False,0,"While in sunlight, this creature has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.",,,,
Command Undead,False,0,"({prof - 1}/day) This creature targets one undead creature it can see. If the target has a CR of 1 or lower and has no class levels, this creature immediately assumes control over the target. The target obeys the verbal commands of this creature to the best of its ability for the next 24 hours.",,,,
Petrifying Gaze,False,0,"If a creature starts its turn within 30 feet of this creature and the two of them can see each other, this creature can force the creature to make a DC {8 + CHA + prof} saving throw if this creature isn't incapacitated. On a failed save, the creature begins to turn to stone and is restrained. It must repeat the saving throw at the end of its next turn. On a success, the effect ends. On a failure, the creature is petrified until freed by the greater restoration spell or other magic. A creature that isn't surprised can avert its eyes to avoid the saving throw at the start of its turn. If it does so, it can't see this creature until the start of its next turn, when it can avert its eyes again. If it looks at this creature in the meantime, it must immediately make the save. If this creature sees its reflection within 30 feet of it in bright light, it targets itself with its gaze.",,,.2,
Charge,False,0,"If this creature moves at least 10 ft. straight toward a target and then hits it with a melee weapon attack on the same turn, the target takes an extra 5 (1d{size_die_size}) damage. If the target is a creature, it must succeed on a DC {8 + prof + STR} Strength saving throw or be pushed up to 10 ft. away and knocked prone.",,,.2,
Reckless,False,0,"At the start of its turn, this creature can gain advantage on all melee weapon attack rolls it makes during that turn, but attack rolls against it have advantage until the start of its next turn.",,,.25,
Legendary Resistance (1/day),False,0,"If this creature fails a saving throw, it can choose to succeed instead.",,.1,0,
,,,,,,,
